id,url,base_name,tld,category
1478337,http://www.cycling.bham.ac.uk/,bham,ac.uk,sports
963661,http://www.strath.ac.uk/registry/,strath,ac.uk,reference
961951,http://www.african.cam.ac.uk/,cam,ac.uk,reference
963637,http://www.politics.stir.ac.uk/,stir,ac.uk,reference
1053631,http://www.nsccs.ac.uk/,nsccs,ac.uk,science
1065270,http://www.nmw.ac.uk/change2001/,nmw,ac.uk,science
1115849,http://www.sustainabletechnologies.ac.uk,sustainabletechnologies,ac.uk,science
1099666,http://www.essex.ac.uk/linguistics/research/clgroup/,essex,ac.uk,science
962057,http://www.glos.ac.uk/faculties/shsc/,glos,ac.uk,reference
1089798,http://lucy.ukc.ac.uk/ethnoatlas/hmar/cult_dir/culture.7870,ukc,ac.uk,science
1072794,http://www.kcl.ac.uk/schools/pse/maths/,kcl,ac.uk,science
180059,http://www.bate.ox.ac.uk,ox,ac.uk,arts
95644,http://extra.shu.ac.uk/emls/iemls/shaksper/files/sergeant%20shaksper.txt,shu,ac.uk,arts
762479,http://www.ctcr.stir.ac.uk/,stir,ac.uk,health
1032470,http://orion1.paisley.ac.uk/courses/tatner/biomedia/units/chor5.htm,paisley,ac.uk,science
539220,http://journals.ecs.soton.ac.uk/xml4j/xlinkexperience.html,soton,ac.uk,computers
1121412,http://www.sstd.rl.ac.uk/mectherm,rl,ac.uk,science
962280,http://www.ncl.ac.uk/mbu/,ncl,ac.uk,reference
963978,http://www.bris.ac.uk/media/experts/,bris,ac.uk,reference
1257701,http://www.aber.ac.uk/media/sections/advert.html,aber,ac.uk,society
68107,http://www.efl.arts.gla.ac.uk/,gla,ac.uk,arts
95765,http://ota.ahds.ac.uk/,ahds,ac.uk,arts
962264,http://www.llc.manchester.ac.uk/subjects/lel/,manchester,ac.uk,reference
1040211,http://www.biology.ed.ac.uk/research/groups/jdeacon/desertecology/cacprof1.htm#top,ed,ac.uk,science
1093112,http://antiquity.ac.uk/projgall/hidjrati/index.html,antiquity,ac.uk,science
1005286,http://www.nottingham.ac.uk/,nottingham,ac.uk,reference
1106460,http://cogent.psyc.bbk.ac.uk/,bbk,ac.uk,science
1049403,http://www.nerc-oxford.ac.uk/,nerc-oxford,ac.uk,science
963352,http://www.gcal.ac.uk/esd/,gcal,ac.uk,reference
1101733,http://www.smo.uhi.ac.uk/gaeilge/gaeilge.html,uhi,ac.uk,science
1062565,http://internt.nhm.ac.uk/jdsml/nature-online/earthlab/specimen/fossil.dsml?name=pterichthyodes%20milleri&amp;panel=5&amp;row=g&amp;column=4,nhm,ac.uk,science
1072511,http://www.ma.hw.ac.uk/uk_maths.html,hw,ac.uk,science
48109,http://www.geo.ed.ac.uk/scotgaz/features/featurefirst8386.html,ed,ac.uk,arts
961618,http://www.cam.ac.uk/admissions/undergraduate/colleges/trinityhall/,cam,ac.uk,reference
960749,http://www.lancs.ac.uk/users/fylde/,lancs,ac.uk,reference
1229864,http://www.era.anthropology.ac.uk/era_resources/era/riddles/hamnet.html,anthropology,ac.uk,society
960579,http://www.halesowen.ac.uk/,halesowen,ac.uk,reference
1080281,http://www.maths.soton.ac.uk/pure/preprints.phtml,soton,ac.uk,science
962019,http://www.cumbria.ac.uk,cumbria,ac.uk,reference
289112,http://www.gla.ac.uk/~gbza22/ch4.html,gla,ac.uk,arts
1087384,http://www.sr.bham.ac.uk/xmm/blackholes.html,bham,ac.uk,science
1556528,http://affiliates.new.ox.ac.uk/ncbc/,ox,ac.uk,sports
962758,http://www.analyticalsciences.group.shef.ac.uk/,shef,ac.uk,reference
960795,http://www.lums.lancs.ac.uk/masters/management-science/msc-management-science-market-analysis/,lancs,ac.uk,reference
1050968,http://www2.warwick.ac.uk/fac/sci/systemsbiology/staff/bretschneider,warwick,ac.uk,science
531352,http://www.informatics.sussex.ac.uk/research/groups/easy/,sussex,ac.uk,computers
1223292,http://www.shef.ac.uk/inclusive-education,shef,ac.uk,society
576869,http://www.lsbu.ac.uk/authoring/,lsbu,ac.uk,computers
1337085,http://www.warwick.ac.uk/fac/cross_fac/cswg/,warwick,ac.uk,society
740495,http://www.bcom.ac.uk/,bcom,ac.uk,health
1091835,http://www.ucl.ac.uk/friendsofpetrie/index.html,ucl,ac.uk,science
963738,http://www.sportsunion.strath.ac.uk/archery/,strath,ac.uk,reference
1024456,http://merlewood.ceh.ac.uk/sections/radio/labs.htm,ceh,ac.uk,science
960871,http://www.lancs.ac.uk/socs/fcs/index.html,lancs,ac.uk,reference
1023506,http://www.mrc-lmb.cam.ac.uk/myosin/myosin.html,cam,ac.uk,science
1095655,http://www.geog.leeds.ac.uk/,leeds,ac.uk,science
1269461,http://www.cl.cam.ac.uk/~rja14/tcpa-faq.html,cam,ac.uk,society
1004534,http://www.ukoln.ac.uk/metadata/presentations/ukolug98/,ukoln,ac.uk,reference
1075217,http://www.maths.qmw.ac.uk/~pjc/design/resources.html,qmw,ac.uk,science
175060,http://www.sussex.ac.uk/users/bh25/kagel.htm,sussex,ac.uk,arts
1073327,http://homepages.feis.herts.ac.uk/~comqejb/algspec/pr.html,herts,ac.uk,science
642843,http://www.phon.ucl.ac.uk/resource/sfs/,ucl,ac.uk,computers
1090688,http://www.britarch.ac.uk/ba/ba21/ba21obit.html,britarch,ac.uk,science
1077464,http://www.cs.manchester.ac.uk/fmethods/,manchester,ac.uk,science
1344455,http://www.ecn.bris.ac.uk/het/sidgewick/wf.html,bris,ac.uk,society
1345546,http://www.ex.ac.uk/~pernest/soccon.htm,ex,ac.uk,society
1243589,http://www.jiscmail.ac.uk/lists/german-history.html,jiscmail,ac.uk,society
1514720,http://www.sunion.warwick.ac.uk/aikido/,warwick,ac.uk,sports
963566,http://volley.eusu.ed.ac.uk/,ed,ac.uk,reference
1113319,http://www.cyber.brad.ac.uk,brad,ac.uk,science
960864,http://www.lancs.ac.uk/socs/lucc/,lancs,ac.uk,reference
1354715,http://philtar.ucsm.ac.uk/encyclopedia/easia/nich.html,ucsm,ac.uk,society
1074689,http://www.ucl.ac.uk/mathematics/geomath/frontpage.html,ucl,ac.uk,science
963412,http://www.rgu.ac.uk/careers/,rgu,ac.uk,reference
821076,http://www.nmm.ac.uk/server/show/conwebdoc.161,nmm,ac.uk,kids
1086631,http://grg.maths.qmul.ac.uk/~hve/research.html,qmul,ac.uk,science
962278,http://www.csr.ncl.ac.uk/,ncl,ac.uk,reference
1344778,http://www.cl.cam.ac.uk/~rja14/wilkins/wilkins.html,cam,ac.uk,society
1343850,http://www-gap.dcs.st-and.ac.uk/~history/mathematicians/more_henry.html,st-and,ac.uk,society
1034485,http://www.biology.ed.ac.uk/research/groups/jdeacon/microbes/chytrid.htm,ed,ac.uk,science
962131,http://www.courtauld.ac.uk/,courtauld,ac.uk,reference
1095771,http://www.econ.bbk.ac.uk/,bbk,ac.uk,science
603836,http://www.cse.dmu.ac.uk/~mward/martin/papers/middle-out-t.pdf,dmu,ac.uk,computers
962474,http://www.history.ox.ac.uk/hoa/,ox,ac.uk,reference
1018624,http://www.mrao.cam.ac.uk/telescopes/vsa/,cam,ac.uk,science
963260,http://www.open.ac.uk/research/,open,ac.uk,reference
1345590,http://www.hps.cam.ac.uk/dept/lipton.html,cam,ac.uk,society
962487,http://www.ndcls.ox.ac.uk/,ox,ac.uk,reference
1050805,http://users.ox.ac.uk/~kgroup/,ox,ac.uk,science
960768,http://www.lums.lancs.ac.uk/departments/accounting/,lancs,ac.uk,reference
839418,http://www3.open.ac.uk/sesame/,open,ac.uk,news
1084000,http://mmpwww.ph.qmul.ac.uk/,qmul,ac.uk,science
